trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.99, 'e': 60.480887133804366}",20,0,-47.17068276429654,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
120,False,"{'a': 0.99, 'e': 59.87607826246632}",30,0,-153.3529224654219,"{0: 16, 1: 6, 2: 6, 3: 0, 4: 2}",0
121,False,"{'a': 0.99, 'e': 59.277317479841656}",20,0,-118.67284905057785,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
122,False,"{'a': 0.99, 'e': 58.68454430504324}",20,0,-103.26376957315017,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
123,False,"{'a': 0.99, 'e': 58.097698861992804}",20,0,-101.54768344533817,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
124,False,"{'a': 0.99, 'e': 57.51672187337287}",30,0,-271.9922633309925,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 5}",0
125,False,"{'a': 0.99, 'e': 56.94155465463914}",25,0,-224.41611774050796,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 4}",0
126,False,"{'a': 0.99, 'e': 56.372139108092746}",20,0,-83.31343842155722,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
127,False,"{'a': 0.99, 'e': 55.80841771701182}",25,0,-127.75295425494818,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
128,False,"{'a': 0.99, 'e': 55.250333539841705}",25,0,-117.49457275165862,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
129,False,"{'a': 0.99, 'e': 54.697830204443285}",25,0,-93.16624262092813,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
130,False,"{'a': 0.99, 'e': 54.15085190239885}",20,0,-92.9098755789629,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
131,False,"{'a': 0.99, 'e': 53.609343383374856}",20,0,-164.90702026332508,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
132,False,"{'a': 0.99, 'e': 53.07324994954111}",25,0,-132.53940368415115,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
133,False,"{'a': 0.99, 'e': 52.54251745004569}",20,0,-143.8248943766251,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
134,False,"{'a': 0.99, 'e': 52.01709227554524}",30,0,-217.18575190245423,"{0: 16, 1: 1, 2: 9, 3: 1, 4: 3}",0
135,False,"{'a': 0.99, 'e': 51.496921352789784}",25,0,-209.0004989187033,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 5}",0
136,False,"{'a': 0.99, 'e': 50.981952139261885}",20,0,-17.230022000032303,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
137,False,"{'a': 0.99, 'e': 50.47213261786926}",25,0,-131.4197320339225,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
138,False,"{'a': 0.99, 'e': 49.96741129169057}",20,0,-87.4370075474998,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
139,False,"{'a': 0.99, 'e': 49.46773717877366}",25,0,-156.33056821884014,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
140,False,"{'a': 0.99, 'e': 48.97305980698592}",30,0,-224.43384234808505,"{0: 16, 1: 5, 2: 5, 3: 0, 4: 4}",0
141,False,"{'a': 0.99, 'e': 48.48332920891606}",20,0,-155.63225978245814,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
142,False,"{'a': 0.99, 'e': 47.9984959168269}",25,0,-56.7813300991601,"{0: 15, 1: 6, 2: 4, 3: 0, 4: 0}",0
143,False,"{'a': 0.99, 'e': 47.51851095765863}",25,0,-88.51228535996552,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
144,False,"{'a': 0.99, 'e': 47.04332584808204}",25,0,-167.31103822781765,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
145,False,"{'a': 0.99, 'e': 46.57289258960122}",20,0,-70.39246746355172,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
146,False,"{'a': 0.99, 'e': 46.10716366370521}",20,0,-25.63184147765982,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
147,False,"{'a': 0.99, 'e': 45.64609202706816}",20,0,-174.06278024607224,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
148,False,"{'a': 0.99, 'e': 45.18963110679748}",20,0,-43.779583344469906,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
149,False,"{'a': 0.99, 'e': 44.7377347957295}",20,0,-84.88934028312065,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
150,False,"{'a': 0.99, 'e': 44.29035744777221}",20,0,-89.95767121332291,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
151,False,"{'a': 0.99, 'e': 43.847453873294484}",25,0,-152.20574675898916,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
152,False,"{'a': 0.99, 'e': 43.408979334561536}",20,11,-8.980955752844107,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.99, 'e': 42.97488954121592}",25,4,-121.3281032449764,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 1}",1
154,False,"{'a': 0.99, 'e': 42.54514064580376}",20,0,-212.47009178873537,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
